202,217
240,290
253,291
243,72
157,178
145,179
299,337
190,71
306,235
352,370
140,166
228,230
240,129
288,326
304,298
130,193
325,368
144,243
191,206
320,383
250,310
334,260
265,78
310,318
187,147
53,42
35,41
55,38
57,58
37,37
45,26
62,49
41,34
48,32
48,55
58,69
74,44
51,60
42,44
48,23
103,104
64,52
40,27
37,65
68,85
50,38
80,55
60,24
46,19
70,66
246,241
17,7
10,9
19,12
21,17
9,11
16,12
16,16
21,9
21,13
17,4
12,14
21,21
23,10
8,12
16,14
21,9
12,14
17,11
18,6
20,20
21,15
11,10
19,9
16,12
195,204
230,166
220,171
151,198
341,288
275,212
304,229
145,119
186,183
244,204
252,335
214,248
495,363
283,380
180,163
267,234
274,277
359,474
148,116
368,276
407,279
391,292
99,164
533,445
227,269
211,193
42,30
89,99
82,53
7,5
199,241
249,173
184,260
277,139
254,128
389,246
314,231
185,178
331,227
177,241
245,123
129,182
165,126
257,210
235,162
404,366
331,165
239,256
443,286
337,386
227,268
400,323
65,44
93,85
52,50
63,29
88,63
50,49
63,33
54,52
66,44
89,76
53,19
52,22
54,51
93,75
63,54
83,69
54,43
106,118
76,61
59,47
71,39
65,34
68,54
62,52
78,48
156,149
107,100
212,201
75,189
259,187
254,165
253,150
257,128
254,193
289,244
244,261
196,220
161,230
254,136
269,85
290,121
239,155
210,171
284,236
159,218
233,136
214,182
297,290
